Length Bucket,Arm,Count,Accuracy,Predicted Unacceptable,Gold Unacceptable,Signed Bias,Absolute Bias Magnitude
000_079,Seed Frozen,3518,0.5583,0.0310,0.4306,-0.3997,0.3997
000_079,Iterative From Seed,3518,0.5654,0.0199,0.4306,-0.4107,0.4107
000_079,Single Full-Budget,3518,0.5685,0.0082,0.4306,-0.4224,0.4224
000_079,Expert Benchmark,3518,0.5514,0.0458,0.4306,-0.3849,0.3849
000_079,Empty Prompt,3518,0.5699,0.0017,0.4306,-0.4289,0.4289
080_159,Seed Frozen,304,0.5559,0.9572,0.5855,0.3717,0.3717
080_159,Iterative From Seed,304,0.5559,0.9572,0.5855,0.3717,0.3717
080_159,Single Full-Budget,304,0.5362,0.9243,0.5855,0.3388,0.3388
080_159,Expert Benchmark,304,0.5625,0.9704,0.5855,0.3849,0.3849
080_159,Empty Prompt,304,0.5263,0.6579,0.5855,0.0724,0.0724
160_319,Seed Frozen,1376,0.5291,0.9993,0.5283,0.4709,0.4709
160_319,Iterative From Seed,1376,0.5298,0.9985,0.5283,0.4702,0.4702
160_319,Single Full-Budget,1376,0.5291,0.9964,0.5283,0.4680,0.4680
160_319,Expert Benchmark,1376,0.5240,0.9956,0.5283,0.4673,0.4673
160_319,Empty Prompt,1376,0.4942,0.8670,0.5283,0.3387,0.3387
320_99999,Seed Frozen,1920,0.4365,0.9990,0.4365,0.5625,0.5625
320_99999,Iterative From Seed,1920,0.4365,0.9990,0.4365,0.5625,0.5625
320_99999,Single Full-Budget,1920,0.4365,0.9979,0.4365,0.5615,0.5615
320_99999,Expert Benchmark,1920,0.4370,0.9984,0.4365,0.5620,0.5620
320_99999,Empty Prompt,1920,0.4323,0.9812,0.4365,0.5448,0.5448
